# GP, 17 April 2026
# Launders et al.
# arXiv:2604.16600
1.000E-03	5.503E-50	1.052E+00
1.064E-03	5.488E-47	1.052E+00
1.132E-03	3.614E-44	1.052E+00
1.204E-03	1.612E-41	1.051E+00
1.281E-03	4.982E-39	1.051E+00
1.362E-03	1.091E-36	1.051E+00
1.449E-03	1.728E-34	1.051E+00
1.541E-03	2.019E-32	1.051E+00
1.640E-03	1.772E-30	1.051E+00
1.744E-03	1.188E-28	1.050E+00
1.855E-03	6.184E-27	1.050E+00
1.974E-03	2.538E-25	1.050E+00
2.100E-03	8.328E-24	1.050E+00
2.234E-03	2.215E-22	1.050E+00
2.376E-03	4.835E-21	1.050E+00
2.527E-03	8.765E-20	1.049E+00
2.689E-03	1.334E-18	1.049E+00
2.860E-03	1.724E-17	1.049E+00
3.042E-03	1.909E-16	1.049E+00
3.236E-03	1.829E-15	1.049E+00
3.443E-03	1.529E-14	1.049E+00
3.662E-03	1.125E-13	1.048E+00
3.896E-03	7.334E-13	1.048E+00
4.144E-03	4.272E-12	1.048E+00
4.409E-03	2.237E-11	1.048E+00
4.690E-03	1.060E-10	1.048E+00
4.989E-03	4.577E-10	1.047E+00
5.307E-03	1.809E-09	1.047E+00
5.645E-03	6.583E-09	1.047E+00
6.005E-03	2.216E-08	1.047E+00
6.388E-03	6.938E-08	1.047E+00
6.795E-03	2.028E-07	1.046E+00
7.229E-03	5.561E-07	1.046E+00
7.690E-03	1.436E-06	1.046E+00
8.180E-03	3.502E-06	1.046E+00
8.702E-03	8.103E-06	1.045E+00
9.256E-03	1.784E-05	1.045E+00
9.847E-03	3.750E-05	1.045E+00
1.047E-02	7.544E-05	1.044E+00
1.114E-02	1.457E-04	1.044E+00
1.185E-02	2.709E-04	1.044E+00
1.261E-02	4.861E-04	1.043E+00
1.341E-02	8.434E-04	1.043E+00
1.427E-02	1.419E-03	1.042E+00
1.518E-02	2.318E-03	1.042E+00
1.615E-02	3.685E-03	1.041E+00
1.718E-02	5.712E-03	1.041E+00
1.827E-02	8.649E-03	1.040E+00
1.944E-02	1.281E-02	1.040E+00
2.067E-02	1.859E-02	1.039E+00
2.199E-02	2.648E-02	1.039E+00
2.340E-02	3.705E-02	1.038E+00
2.489E-02	5.101E-02	1.038E+00
2.647E-02	6.917E-02	1.037E+00
2.816E-02	9.250E-02	1.036E+00
2.996E-02	1.221E-01	1.036E+00
3.187E-02	1.593E-01	1.035E+00
3.390E-02	2.055E-01	1.034E+00
3.606E-02	2.624E-01	1.034E+00
3.836E-02	3.319E-01	1.033E+00
4.081E-02	4.162E-01	1.032E+00
4.341E-02	5.177E-01	1.032E+00
4.618E-02	6.392E-01	1.031E+00
4.912E-02	7.837E-01	1.030E+00
5.225E-02	9.549E-01	1.030E+00
5.559E-02	1.157E+00	1.029E+00
5.913E-02	1.393E+00	1.028E+00
6.290E-02	1.669E+00	1.028E+00
6.691E-02	1.991E+00	1.027E+00
7.118E-02	2.363E+00	1.027E+00
7.572E-02	2.793E+00	1.026E+00
8.055E-02	3.289E+00	1.026E+00
8.568E-02	3.857E+00	1.026E+00
9.114E-02	4.508E+00	1.025E+00
9.696E-02	5.251E+00	1.025E+00
1.031E-01	6.097E+00	1.025E+00
1.097E-01	7.058E+00	1.024E+00
1.167E-01	8.146E+00	1.024E+00
1.242E-01	9.377E+00	1.024E+00
1.321E-01	1.076E+01	1.024E+00
1.405E-01	1.233E+01	1.023E+00
1.495E-01	1.408E+01	1.023E+00
1.590E-01	1.605E+01	1.023E+00
1.691E-01	1.824E+01	1.023E+00
1.799E-01	2.070E+01	1.023E+00
1.914E-01	2.344E+01	1.023E+00
2.036E-01	2.649E+01	1.023E+00
2.166E-01	2.987E+01	1.022E+00
2.304E-01	3.363E+01	1.022E+00
2.451E-01	3.779E+01	1.022E+00
2.607E-01	4.239E+01	1.022E+00
2.773E-01	4.747E+01	1.022E+00
2.950E-01	5.308E+01	1.022E+00
3.138E-01	5.926E+01	1.022E+00
3.338E-01	6.605E+01	1.022E+00
3.551E-01	7.351E+01	1.022E+00
3.777E-01	8.170E+01	1.022E+00
4.018E-01	9.068E+01	1.022E+00
4.274E-01	1.005E+02	1.022E+00
4.547E-01	1.113E+02	1.022E+00
4.837E-01	1.230E+02	1.022E+00
5.145E-01	1.358E+02	1.022E+00
5.473E-01	1.498E+02	1.022E+00
5.822E-01	1.651E+02	1.022E+00
6.194E-01	1.817E+02	1.022E+00
6.589E-01	1.998E+02	1.022E+00
7.009E-01	2.194E+02	1.022E+00
7.456E-01	2.407E+02	1.022E+00
7.931E-01	2.639E+02	1.022E+00
8.437E-01	2.890E+02	1.023E+00
8.975E-01	3.162E+02	1.023E+00
9.547E-01	3.457E+02	1.023E+00
1.016E+00	3.776E+02	1.024E+00
1.080E+00	4.120E+02	1.024E+00
1.149E+00	4.491E+02	1.025E+00
1.222E+00	4.889E+02	1.025E+00
1.300E+00	5.316E+02	1.026E+00
1.383E+00	5.771E+02	1.027E+00
1.472E+00	6.255E+02	1.027E+00
1.565E+00	6.765E+02	1.028E+00
1.665E+00	7.300E+02	1.029E+00
1.771E+00	7.857E+02	1.030E+00
1.884E+00	8.432E+02	1.031E+00
2.005E+00	9.018E+02	1.032E+00
2.132E+00	9.611E+02	1.033E+00
2.268E+00	1.020E+03	1.033E+00
2.413E+00	1.079E+03	1.034E+00
2.567E+00	1.135E+03	1.035E+00
2.730E+00	1.189E+03	1.036E+00
2.905E+00	1.240E+03	1.037E+00
3.090E+00	1.287E+03	1.038E+00
3.287E+00	1.329E+03	1.038E+00
3.496E+00	1.365E+03	1.039E+00
3.719E+00	1.396E+03	1.039E+00
3.957E+00	1.420E+03	1.040E+00
4.209E+00	1.438E+03	1.041E+00
4.477E+00	1.449E+03	1.041E+00
4.763E+00	1.453E+03	1.042E+00
5.066E+00	1.450E+03	1.042E+00
5.389E+00	1.441E+03	1.042E+00
5.733E+00	1.426E+03	1.043E+00
6.099E+00	1.406E+03	1.043E+00
6.488E+00	1.380E+03	1.044E+00
6.901E+00	1.349E+03	1.044E+00
7.341E+00	1.315E+03	1.044E+00
7.809E+00	1.276E+03	1.044E+00
8.307E+00	1.235E+03	1.045E+00
8.837E+00	1.191E+03	1.045E+00
9.401E+00	1.145E+03	1.045E+00
1.000E+01	1.097E+03	1.045E+00
