# Provided by Miguel Escudero, Greg Jackson, Stefan Sandner and Mikko Laine, to appear
# columns:
# m_e/T_ga,   fa1,   fa2,   fa3,   fa4,   fs1,   fs2,   fs3,   fs4,   fn1,   fn2,   fn3,   fn4
 2.4800e+01   +1.2222e-14   +2.2402e-14   +1.0140e-14   +1.8580e-14   +1.2852e-09   -1.3606e-09   +2.4384e-312   +3.0512e-312   +1.8549e-15   +3.4028e-15   +1.5741e-15   +2.8869e-15
 2.4900e+01   +9.1748e-15   +1.6809e-14   +7.6203e-15   +1.3956e-14   +1.1680e-09   -1.2374e-09   +2.4384e-312   +3.0512e-312   +1.5545e-15   +2.8529e-15   +1.3201e-15   +2.4220e-15
 2.5000e+01   +7.7188e-15   +1.4143e-14   +6.4161e-15   +1.1751e-14   +1.0614e-09   -1.1252e-09   +2.4384e-312   +3.0512e-312   +1.2926e-15   +2.3458e-15   +1.1019e-15   +1.9859e-15
 2.5100e+01   +6.5438e-15   +1.1475e-14   +5.4665e-15   +9.4967e-15   +9.6457e-10   -1.0232e-09   +2.4384e-312   +3.0512e-312   +1.0773e-15   +1.9783e-15   +9.1610e-16   +1.6818e-15
 2.5200e+01   +5.3888e-15   +9.8833e-15   +4.4862e-15   +8.2251e-15   +8.7654e-10   -9.3041e-10   +2.4384e-312   +3.0512e-312   +9.0266e-16   +1.6582e-15   +7.6810e-16   +1.4106e-15
 2.5300e+01   +4.5316e-15   +8.3142e-15   +3.7754e-15   +6.9244e-15   +7.9653e-10   -8.4602e-10   +2.4384e-312   +3.0512e-312   +7.5626e-16   +1.3898e-15   +6.4394e-16   +1.1831e-15
 2.5400e+01   +3.8102e-15   +6.9934e-15   +3.1766e-15   +5.8287e-15   +7.2382e-10   -7.6926e-10   +2.4384e-312   +3.0512e-312   +6.3356e-16   +1.1647e-15   +5.3982e-16   +9.9210e-16
 2.5500e+01   +3.2036e-15   +5.8820e-15   +2.6729e-15   +4.9060e-15   +6.5773e-10   -6.9946e-10   +2.4384e-312   +3.0512e-312   -6.6709e-16   +9.7599e-16   -8.0707e-16   +9.5534e-16
 2.5600e+01   +4.1281e-16   +7.1934e-16   +3.4528e-16   +6.0140e-16   +5.9766e-10   -6.3597e-10   +2.4384e-312   +3.0512e-312   +6.7531e-17   +1.1794e-16   +5.7699e-17   +1.0074e-16
 2.5700e+01   +3.4633e-16   +6.0383e-16   +2.8988e-16   +5.0518e-16   +5.4307e-10   -5.7823e-10   +2.4384e-312   +3.0512e-312   +5.6452e-17   +9.8645e-17   +4.8263e-17   +8.4304e-17
 2.5800e+01   +2.9059e-16   +5.0671e-16   +2.4340e-16   +4.2421e-16   +4.9346e-10   -5.2572e-10   +2.4384e-312   +3.0512e-312   +4.7187e-17   +8.2497e-17   +4.0367e-17   +7.0548e-17
 2.5900e+01   +2.4370e-16   +4.2535e-16   +2.0426e-16   +3.5636e-16   +4.4837e-10   -4.7797e-10   +2.4384e-312   +3.0512e-312   +3.9439e-17   +6.8988e-17   +3.3759e-17   +5.9031e-17
 2.6000e+01   +2.0440e-16   +3.5695e-16   +1.7144e-16   +2.9926e-16   +4.0739e-10   -4.3454e-10   +2.4384e-312   +3.0512e-312   +3.2961e-17   +5.7686e-17   +2.8231e-17   +4.9390e-17
 2.6100e+01   +1.7143e-16   +2.9952e-16   +1.4388e-16   +2.5128e-16   +3.7016e-10   -3.9506e-10   +2.4384e-312   +3.0512e-312   +2.7545e-17   +4.8232e-17   +2.3606e-17   +4.1321e-17
 2.6200e+01   +1.4376e-16   +2.5130e-16   +1.2074e-16   +2.1098e-16   +3.3632e-10   -3.5915e-10   +2.4384e-312   +3.0512e-312   +2.3017e-17   +4.0323e-17   +1.9738e-17   +3.4566e-17
 2.6300e+01   +1.2054e-16   +2.1083e-16   +1.0131e-16   +1.7712e-16   +3.0557e-10   -3.2650e-10   +2.4384e-312   +3.0512e-312   +1.9232e-17   +3.3709e-17   +1.6502e-17   +2.8913e-17
 2.6400e+01   +1.0107e-16   +1.7686e-16   +8.5000e-17   +1.4868e-16   +2.7762e-10   -2.9681e-10   +2.4384e-312   +3.0512e-312   +1.6068e-17   +2.8178e-17   +1.3795e-17   +2.4183e-17
 2.6500e+01   +8.4675e-17   +1.4847e-16   +7.1251e-17   +1.2491e-16   +2.5223e-10   -2.6981e-10   +2.4384e-312   +3.0512e-312   +1.3424e-17   +2.3553e-17   +1.1532e-17   +2.0225e-17
 2.6600e+01   +7.1032e-17   +1.2443e-16   +5.9818e-17   +1.0474e-16   +2.2915e-10   -2.4527e-10   +2.4384e-312   +3.0512e-312   +1.1214e-17   +1.9685e-17   +9.6387e-18   +1.6914e-17
 2.6700e+01   +5.9541e-17   +1.0435e-16   +5.0174e-17   +8.7898e-17   +2.0819e-10   -2.2295e-10   +2.4384e-312   +3.0512e-312   +9.3673e-18   +1.6451e-17   +8.0559e-18   +1.4143e-17
 2.6800e+01   +4.9906e-17   +8.7505e-17   +4.2082e-17   +7.3758e-17   +1.8914e-10   -2.0266e-10   +2.4384e-312   +3.0512e-312   +7.8241e-18   +1.3747e-17   +6.7325e-18   +1.1826e-17
 2.6900e+01   +4.1825e-17   +7.3373e-17   +3.5290e-17   +6.1886e-17   +1.7183e-10   -1.8421e-10   +2.4384e-312   +3.0512e-312   +6.5346e-18   +1.1487e-17   +5.6261e-18   +9.8869e-18
 2.7000e+01   +3.5050e-17   +6.1518e-17   +2.9593e-17   +5.1921e-17   +1.5610e-10   -1.6744e-10   +2.4384e-312   +3.0512e-312   +5.4573e-18   +9.5978e-18   +4.7012e-18   +8.2654e-18
 2.7100e+01   +2.9370e-17   +5.1575e-17   +2.4813e-17   +4.3556e-17   +1.4181e-10   -1.5219e-10   +2.4384e-312   +3.0512e-312   +4.5572e-18   +8.0186e-18   +3.9280e-18   +6.9093e-18
 2.7200e+01   +2.4609e-17   +4.3234e-17   +2.0804e-17   +3.6535e-17   +1.2882e-10   -1.3833e-10   +2.4384e-312   +3.0512e-312   +3.8057e-18   +6.6982e-18   +3.2821e-18   +5.7746e-18
 2.7300e+01   +2.0618e-17   +3.6240e-17   +1.7440e-17   +3.0644e-17   +1.1702e-10   -1.2573e-10   +2.4384e-312   +3.0512e-312   +3.1773e-18   +5.5958e-18   +2.7416e-18   +4.8270e-18
 2.7400e+01   +1.7272e-17   +3.0374e-17   +1.4620e-17   +2.5700e-17   +1.0630e-10   -1.1427e-10   +2.4384e-312   +3.0512e-312   +2.6528e-18   +4.6741e-18   +2.2902e-18   +4.0341e-18
 2.7500e+01   +1.4469e-17   +2.5456e-17   +1.2254e-17   +2.1552e-17   +9.6566e-11   -1.0386e-10   +2.4384e-312   +3.0512e-312   +2.2146e-18   +3.9039e-18   +1.9130e-18   +3.3712e-18
 2.7600e+01   +1.2119e-17   +2.1332e-17   +1.0271e-17   +1.8072e-17   +8.7718e-11   -9.4389e-11   +2.4384e-312   +3.0512e-312   +1.8487e-18   +3.2604e-18   +1.5978e-18   +2.8170e-18
 2.7700e+01   +1.0151e-17   +1.7875e-17   +8.6073e-18   +1.5152e-17   +7.9680e-11   -8.5783e-11   +2.4384e-312   +3.0512e-312   +1.5432e-18   +2.7228e-18   +1.3344e-18   +2.3538e-18
 2.7800e+01   +8.5009e-18   +1.4977e-17   +7.2128e-18   +1.2703e-17   +7.2377e-11   -7.7960e-11   +2.4384e-312   +3.0512e-312   +1.2881e-18   +2.2737e-18   +1.1144e-18   +1.9665e-18
 2.7900e+01   +7.1137e-18   +1.2558e-17   +6.0388e-18   +1.0659e-17   +6.5742e-11   -7.0850e-11   +2.4384e-312   +3.0512e-312   +1.0750e-18   +1.8985e-18   +9.3058e-19   +1.6429e-18
 2.8000e+01   +5.9603e-18   +1.0512e-17   +5.0631e-18   +8.9264e-18   +5.9715e-11   -6.4386e-11   +2.4384e-312   +3.0512e-312   +8.9696e-19   +1.5851e-18   +7.7681e-19   +1.3724e-18
 2.8100e+01   +4.9910e-18   +8.8051e-18   +4.2423e-18   +7.4818e-18   +5.4240e-11   -5.8511e-11   +2.4384e-312   +3.0512e-312   +7.4871e-19   +1.3233e-18   +6.4877e-19   +1.1464e-18
 2.8200e+01   +2.6845e-18   +7.3746e-18   +2.2640e-18   +6.2698e-18   +4.9266e-11   -5.3172e-11   +2.4384e-312   +3.0512e-312   +6.2476e-19   +1.1048e-18   +5.4165e-19   +9.5752e-19
 2.8300e+01   +2.7600e-18   +5.1511e-18   +2.3403e-18   +4.3668e-18   +4.4747e-11   -4.8318e-11   +2.4384e-312   +3.0512e-312   +4.1975e-19   +7.8437e-19   +3.6296e-19   +6.7812e-19
 2.8400e+01   +2.3108e-18   +4.3137e-18   +1.9605e-18   +3.6591e-18   +4.0642e-11   -4.3907e-11   +2.4384e-312   +3.0512e-312   +3.5024e-19   +6.5464e-19   +3.0302e-19   +5.6627e-19
 2.8500e+01   +1.9345e-18   +3.6122e-18   +1.6422e-18   +3.0658e-18   +3.6914e-11   -3.9898e-11   +2.4384e-312   +3.0512e-312   +2.9223e-19   +5.4633e-19   +2.5296e-19   +4.7283e-19
 2.8600e+01   +1.6193e-18   +3.0245e-18   +1.3755e-18   +2.5685e-18   +3.3527e-11   -3.6254e-11   +2.4384e-312   +3.0512e-312   +2.4380e-19   +4.5592e-19   +2.1115e-19   +3.9478e-19
 2.8700e+01   +1.3554e-18   +2.5322e-18   +1.1520e-18   +2.1517e-18   +3.0450e-11   -3.2943e-11   +2.4384e-312   +3.0512e-312   +2.0339e-19   +3.8044e-19   +1.7624e-19   +3.2959e-19
 2.8800e+01   +1.1344e-18   +2.1199e-18   +9.6477e-19   +1.8024e-18   +2.7655e-11   -2.9933e-11   +2.4384e-312   +3.0512e-312   +1.6967e-19   +3.1743e-19   +1.4709e-19   +2.7515e-19
 2.8900e+01   +9.4941e-19   +1.7746e-18   +8.0789e-19   +1.5097e-18   +2.5116e-11   -2.7198e-11   +2.4384e-312   +3.0512e-312   +1.4153e-19   +2.6485e-19   +1.2276e-19   +2.2969e-19
 2.9000e+01   +7.9451e-19   +1.4854e-18   +6.7646e-19   +1.2644e-18   +2.2811e-11   -2.4712e-11   +2.4384e-312   +3.0512e-312   +1.1804e-19   +2.2096e-19   +1.0244e-19   +1.9172e-19
 2.9100e+01   +6.6483e-19   +1.2432e-18   +5.6637e-19   +1.0589e-18   +2.0716e-11   -2.2453e-11   +2.4384e-312   +3.0512e-312   +9.8454e-20   +1.8433e-19   +8.5485e-20   +1.6002e-19
 2.9200e+01   +5.5628e-19   +1.0405e-18   +4.7417e-19   +8.8673e-19   +1.8814e-11   -2.0401e-11   +2.4384e-312   +3.0512e-312   +8.2109e-20   +1.5376e-19   +7.1328e-20   +1.3355e-19
 2.9300e+01   +4.6541e-19   +8.7075e-19   +3.9694e-19   +7.4249e-19   +1.7086e-11   -1.8535e-11   +2.4384e-312   +3.0512e-312   +6.8474e-20   +1.2826e-19   +5.9512e-20   +1.1145e-19
 2.9400e+01   +3.8937e-19   +7.2864e-19   +3.3227e-19   +6.2166e-19   +1.5516e-11   -1.6840e-11   +2.4384e-312   +3.0512e-312   +5.7099e-20   +1.0698e-19   +4.9651e-20   +9.3005e-20
 2.9500e+01   +4.4448e-17   -5.4878e-18   +4.4400e-17   -5.5770e-18   +1.4091e-11   -1.5300e-11   +2.4384e-312   +3.0512e-312   +4.7611e-20   +8.9220e-20   +4.1420e-20   +7.7606e-20
 2.9600e+01   +1.7990e-17   +3.3735e-17   +1.7691e-17   +3.3174e-17   +1.2796e-11   -1.3900e-11   +2.4384e-312   +3.0512e-312   +3.9697e-20   +7.4406e-20   +3.4552e-20   +6.4752e-20
 2.9700e+01   +3.3953e-18   -6.3686e-20   +3.1457e-18   -5.3195e-19   +1.1620e-11   -1.2628e-11   +2.4384e-312   +3.0512e-312   +3.3097e-20   +6.2049e-20   +2.8821e-20   +5.4024e-20
 2.9800e+01   +1.4551e-18   +2.7270e-18   +1.2466e-18   +2.3358e-18   +1.0552e-11   -1.1473e-11   +2.4384e-312   +3.0512e-312   +2.7592e-20   +5.1740e-20   +2.4039e-20   +4.5070e-20
 2.9900e+01   +1.2191e-18   +2.2853e-18   +1.0449e-18   +1.9585e-18   +9.5824e-12   -1.0423e-11   +2.4384e-312   +3.0512e-312   +2.3002e-20   +4.3142e-20   +2.0049e-20   +3.7598e-20
  3.0000e+01   +1.0213e-18   +1.9149e-18   +8.7586e-19   +1.6420e-18   +8.7015e-12   -9.4685e-12   +2.1065e-312   +2.8614e-312   +1.9174e-20   +3.5970e-20   +1.6721e-20   +3.1363e-20
 3.0100e+01   +8.5554e-19   +1.6045e-18   +7.3409e-19   +1.3765e-18   +7.9015e-12   -8.6016e-12   +2.1065e-312   +2.8614e-312   +1.5982e-20   +2.9989e-20   +1.3944e-20   +2.6160e-20
 3.0200e+01   +7.1667e-19   +1.3442e-18   +6.1526e-19   +1.1538e-18   +7.1749e-12   -7.8140e-12   +2.1065e-312   +2.8614e-312   +1.3321e-20   +2.5001e-20   +1.1627e-20   +2.1819e-20
 3.0300e+01   +6.0024e-19   +1.1262e-18   +5.1556e-19   +9.6714e-19   +6.5151e-12   -7.0983e-12   +2.1065e-312   +2.8614e-312   -2.0050e-19   +2.0841e-20   -2.0191e-19   +1.8197e-20
 3.0400e+01   +5.0271e-19   +9.4338e-19   +4.3201e-19   +8.1059e-19   +5.9159e-12   -6.4481e-12   +2.1065e-312   +2.8614e-312   +6.0025e-19   +1.1286e-18   +5.9908e-19   +1.1264e-18
 3.0500e+01   +4.2100e-19   +7.9021e-19   +3.6198e-19   +6.7932e-19   +5.3717e-12   -5.8574e-12   +2.1065e-312   +2.8614e-312   -4.6902e-19   +9.3989e-19   -4.7638e-19   +9.2605e-19
 3.0600e+01   +3.5255e-19   +6.6184e-19   +3.0328e-19   +5.6925e-19   +4.8775e-12   -5.3207e-12   +2.1065e-312   +2.8614e-312   +9.5076e-20   +9.8317e-22   +8.8951e-20   -1.0539e-20
 3.0700e+01   +2.9520e-19   +5.5431e-19   +2.5407e-19   +4.7701e-19   +4.4288e-12   -4.8331e-12   +2.1065e-312   +2.8614e-312   +4.1128e-20   +7.7304e-20   +3.6031e-20   +6.7714e-20
 3.0800e+01   +2.4716e-19   +4.6421e-19   +2.1283e-19   +3.9967e-19   +4.0212e-12   -4.3901e-12   +2.1065e-312   +2.8614e-312   +3.4307e-20   +6.4585e-20   +3.0065e-20   +5.6603e-20
 3.0900e+01   +2.0691e-19   +3.8871e-19   +1.7826e-19   +3.3483e-19   +3.6512e-12   -3.9877e-12   +2.1065e-312   +2.8614e-312   +2.8651e-20   +5.3876e-20   +2.5122e-20   +4.7234e-20
 3.1000e+01   +1.7323e-19   +3.2549e-19   +1.4931e-19   +2.8052e-19   +3.3151e-12   -3.6221e-12   +2.1065e-312   +2.8614e-312   +2.3914e-20   +4.4976e-20   +2.0977e-20   +3.9448e-20
 3.1100e+01   +1.4500e-19   +2.7253e-19   +1.2504e-19   +2.3498e-19   +3.0100e-12   -3.2900e-12   +2.1065e-312   +2.8614e-312   +1.9957e-20   +3.7542e-20   +1.7514e-20   +3.2942e-20
 3.1200e+01   +1.2138e-19   +2.2816e-19   +1.0472e-19   +1.9683e-19   +2.7329e-12   -2.9883e-12   +2.1065e-312   +2.8614e-312   +1.6654e-20   +3.1335e-20   +1.4622e-20   +2.7507e-20
 3.1300e+01   +1.0159e-19   +1.9100e-19   +8.7695e-20   +1.6485e-19   +2.4812e-12   -2.7142e-12   +2.1065e-312   +2.8614e-312   +1.3897e-20   +2.6152e-20   +1.2206e-20   +2.2967e-20
 3.1400e+01   +8.5028e-20   +1.5989e-19   +7.3432e-20   +1.3806e-19   +2.2528e-12   -2.4652e-12   +2.1065e-312   +2.8614e-312   +1.1596e-20   +2.1826e-20   +1.0189e-20   +1.9176e-20
 3.1500e+01   +7.1155e-20   +1.3383e-19   +6.1480e-20   +1.1562e-19   +2.0453e-12   -2.2390e-12   +2.1065e-312   +2.8614e-312   +9.6749e-21   +1.8214e-20   +8.5047e-21   +1.6009e-20
 3.1600e+01   +5.9544e-20   +1.1202e-19   +5.1472e-20   +9.6816e-20   +1.8569e-12   -2.0336e-12   +2.1065e-312   +2.8614e-312   +8.0718e-21   +1.5199e-20   +7.0984e-21   +1.3364e-20
 3.1700e+01   +4.9823e-20   +9.3748e-20   +4.3090e-20   +8.1066e-20   +1.6859e-12   -1.8469e-12   +2.1065e-312   +2.8614e-312   +6.7339e-21   +1.2682e-20   +5.9243e-21   +1.1156e-20
 3.1800e+01   +4.1690e-20   +7.8454e-20   +3.6072e-20   +6.7873e-20   +1.5306e-12   -1.6774e-12   +2.1065e-312   +2.8614e-312   +5.6174e-21   +1.0581e-20   +4.9441e-21   +9.3119e-21
 3.1900e+01   +3.4878e-20   +6.5651e-20   +3.0192e-20   +5.6823e-20   +1.3896e-12   -1.5234e-12   +2.1065e-312   +2.8614e-312   +4.6858e-21   +8.8281e-21   +4.1258e-21   +7.7722e-21
 3.2000e+01   +2.9178e-20   +5.4934e-20   +2.5270e-20   +4.7569e-20   +1.2615e-12   -1.3836e-12   +2.1065e-312   +2.8614e-312   +3.9085e-21   +7.3649e-21   +3.4428e-21   +6.4866e-21
 3.2100e+01   +2.4409e-20   +4.5963e-20   +2.1149e-20   +3.9819e-20   +1.1453e-12   -1.2565e-12   +2.1065e-312   +2.8614e-312   +3.2594e-21   +6.1450e-21   +2.8721e-21   +5.4145e-21
 3.2200e+01   +2.0417e-20   +3.8454e-20   +1.7698e-20   +3.3329e-20   +1.0397e-12   -1.1411e-12   +2.1065e-312   +2.8614e-312   +2.7188e-21   +5.1251e-21   +2.3968e-21   +4.5175e-21
 3.2300e+01   +1.7078e-20   +3.2170e-20   +1.4810e-20   +2.7895e-20   +9.4388e-13   -1.0363e-12   +2.1065e-312   +2.8614e-312   +2.2674e-21   +4.2749e-21   +1.9996e-21   +3.7697e-21
 3.2400e+01   +1.4283e-20   +2.6911e-20   +1.2392e-20   +2.3346e-20   +8.5687e-13   -9.4113e-13   +2.1065e-312   +2.8614e-312   +1.8908e-21   +3.5656e-21   +1.6682e-21   +3.1454e-21
 3.2500e+01   +1.1945e-20   +2.2511e-20   +1.0369e-20   +1.9537e-20   +7.7787e-13   -8.5467e-13   +2.1065e-312   +2.8614e-312   +1.5767e-21   +2.9738e-21   +1.3916e-21   +2.6244e-21
 3.2600e+01   +9.9895e-21   +1.8828e-20   +8.6748e-21   +1.6348e-20   +7.0615e-13   -7.7614e-13   +2.1065e-312   +2.8614e-312   +1.3147e-21   +2.4801e-21   +1.1608e-21   +2.1895e-21
 3.2700e+01   +8.3533e-21   +1.5747e-20   +7.2572e-21   +1.3679e-20   +6.4103e-13   -7.0482e-13   +2.1065e-312   +2.8614e-312   +1.0962e-21   +2.0682e-21   +9.6820e-22   +1.8266e-21
 3.2800e+01   +6.9847e-21   +1.3170e-20   +6.0708e-21   +1.1445e-20   +5.8191e-13   -6.4004e-13   +2.1065e-312   +2.8614e-312   +9.1392e-22   +1.7247e-21   +8.0755e-22   +1.5238e-21
 3.2900e+01   +5.8400e-21   +1.1013e-20   +5.0781e-21   +9.5753e-21   +5.2824e-13   -5.8121e-13   +2.1065e-312   +2.8614e-312   +7.6193e-22   +1.4381e-21   +6.7351e-22   +1.2711e-21
 3.3000e+01   +4.8826e-21   +9.2095e-21   +4.2474e-21   +8.0104e-21   +4.7952e-13   -5.2778e-13   +2.1065e-312   +2.8614e-312   +6.3518e-22   +1.1991e-21   +5.6168e-22   +1.0602e-21
 3.3100e+01   +4.0818e-21   +7.7006e-21   +3.5523e-21   +6.7009e-21   +4.3528e-13   -4.7925e-13   +2.1065e-312   +2.8614e-312   +5.2949e-22   +9.9971e-22   +4.6840e-22   +8.8427e-22
 3.3200e+01   +3.4122e-21   +6.4385e-21   +2.9709e-21   +5.6050e-21   +3.9512e-13   -4.3518e-13   +2.1065e-312   +2.8614e-312   +4.4136e-22   +8.3347e-22   +3.9058e-22   +7.3750e-22
 3.3300e+01   +2.8523e-21   +5.3829e-21   +2.4844e-21   +4.6881e-21   +3.5866e-13   -3.9516e-13   +2.1065e-312   +2.8614e-312   +3.6787e-22   +6.9480e-22   +3.2566e-22   +6.1503e-22
 3.3400e+01   +2.3839e-21   +4.5001e-21   +2.0773e-21   +3.9209e-21   +3.2557e-13   -3.5882e-13   +2.1065e-312   +2.8614e-312   +3.0662e-22   +5.7922e-22   +2.7154e-22   +5.1291e-22
 3.3500e+01   +1.9926e-21   +3.7620e-21   +1.7370e-21   +3.2792e-21   +2.9552e-13   -3.2581e-13   +2.1065e-312   +2.8614e-312   +2.5554e-22   +4.8282e-22   +2.2639e-22   +4.2770e-22
 3.3600e+01   +1.6653e-21   +3.1445e-21   +1.4524e-21   +2.7421e-21   +2.6825e-13   -2.9584e-13   +2.1065e-312   +2.8614e-312   +2.1296e-22   +4.0244e-22   +1.8874e-22   +3.5663e-22
 3.3700e+01   +1.3917e-21   +2.6283e-21   +1.2143e-21   +2.2929e-21   +2.4349e-13   -2.6862e-13   +2.1065e-312   +2.8614e-312   +1.7747e-22   +3.3543e-22   +1.5734e-22   +2.9735e-22
 3.3800e+01   +1.1630e-21   +2.1967e-21   +1.0151e-21   +1.9172e-21   +2.2101e-13   -2.4390e-13   +2.1065e-312   +2.8614e-312   +1.4789e-22   +2.7956e-22   +1.3116e-22   +2.4791e-22
 3.3900e+01   +9.7180e-22   +1.8359e-21   +8.4858e-22   +1.6029e-21   +2.0060e-13   -2.2145e-13   +2.1065e-312   +2.8614e-312   +1.2323e-22   +2.3298e-22   +1.0933e-22   +2.0668e-22
 3.4000e+01   +8.1199e-22   +1.5343e-21   +7.0932e-22   +1.3401e-21   +1.8208e-13   -2.0107e-13   +2.1065e-312   +2.8614e-312   +1.0267e-22   +1.9415e-22   +9.1126e-23   +1.7230e-22
 3.4100e+01   +6.7844e-22   +1.2821e-21   +5.9289e-22   +1.1203e-21   +1.6527e-13   -1.8256e-13   +2.1065e-312   +2.8614e-312   +8.5544e-23   +1.6179e-22   +7.5950e-23   +1.4363e-22
 3.4200e+01   +5.6679e-22   +1.0713e-21   +4.9552e-22   +9.3651e-22   +1.5001e-13   -1.6575e-13   +2.1065e-312   +2.8614e-312   +7.1273e-23   +1.3481e-22   +6.3303e-23   +1.1972e-22
 3.4300e+01   +4.7351e-22   +8.9514e-22   +4.1413e-22   +7.8281e-22   +1.3615e-13   -1.5049e-13   +2.1065e-312   +2.8614e-312   +5.9389e-23   +1.1229e-22   +5.2768e-23   +9.9748e-23
 3.4400e+01   +3.9555e-22   +7.4789e-22   +3.4609e-22   +6.5430e-22   +1.2358e-13   -1.3664e-13   +2.1065e-312   +2.8614e-312   +4.9459e-23   +9.3596e-23   +4.3958e-23   +8.3179e-23
 3.4500e+01   +3.3040e-22   +6.2482e-22   +2.8920e-22   +5.4685e-22   +1.1216e-13   -1.2405e-13   +2.1065e-312   +2.8614e-312   +4.1204e-23   +7.7974e-23   +3.6634e-23   +6.9319e-23
 3.4600e+01   +2.7598e-22   +5.2198e-22   +2.4166e-22   +4.5702e-22   +1.0180e-13   -1.1263e-13   +2.1065e-312   +2.8614e-312   +3.4319e-23   +6.4960e-23   +3.0523e-23   +5.7770e-23
 3.4700e+01   -6.8596e-23   +8.8954e-22   -9.7181e-23   +8.3542e-22   +9.2392e-14   -1.0225e-13   +2.1065e-312   +2.8614e-312   +2.8585e-23   +5.4115e-23   +2.5432e-23   +4.8142e-23
 3.4800e+01   +2.1569e-22   +4.0807e-22   +1.8899e-22   +3.5752e-22   +8.3855e-14   -9.2832e-14   +2.1065e-312   +2.8614e-312   +2.3808e-23   +4.5079e-23   +2.1189e-23   +4.0116e-23
 3.4900e+01   +1.8010e-22   +3.4078e-22   +1.5787e-22   +2.9868e-22   +7.6106e-14   -8.4278e-14   +2.1065e-312   +2.8614e-312   +1.9828e-23   +3.7549e-23   +1.7653e-23   +3.3427e-23
 3.5000e+01   +1.5036e-22   +2.8458e-22   +1.3185e-22   +2.4952e-22   +6.9072e-14   -7.6513e-14   +2.1065e-312   +2.8614e-312   +4.7939e-23   +3.5062e-23   +4.5912e-23   +3.1220e-23
 3.5100e+01   +1.2554e-22   +2.3764e-22   +1.1012e-22   +2.0844e-22   +6.2688e-14   -6.9462e-14   +2.1065e-312   +2.8614e-312   +1.5414e-23   +2.9198e-23   +1.3731e-23   +2.6007e-23
 3.5200e+01   +1.0481e-22   +1.9842e-22   +9.1981e-23   +1.7411e-22   +5.6894e-14   -6.3060e-14   +2.1065e-312   +2.8614e-312   +1.2833e-23   +2.4313e-23   +1.1436e-23   +2.1664e-23
 3.5300e+01   +8.7499e-23   +1.6567e-22   +7.6814e-23   +1.4542e-22   +5.1634e-14   -5.7247e-14   +2.1065e-312   +2.8614e-312   +1.0684e-23   +2.0245e-23   +9.5240e-24   +1.8045e-23
 3.5400e+01   +7.3037e-23   +1.3831e-22   +6.4142e-23   +1.2146e-22   +4.6861e-14   -5.1970e-14   +2.1065e-312   +2.8614e-312   +8.8948e-24   +1.6857e-23   +7.9314e-24   +1.5029e-23
 3.5500e+01   +6.0966e-23   +1.1547e-22   +5.3562e-23   +1.0144e-22   +4.2528e-14   -4.7178e-14   +2.1065e-312   +2.8614e-312   +7.4044e-24   +1.4035e-23   +6.6046e-24   +1.2517e-23
 3.5600e+01   +5.0884e-23   +9.6396e-23   +4.4720e-23   +8.4711e-23   +3.8595e-14   -4.2828e-14   +2.1065e-312   +2.8614e-312   +6.1637e-24   +1.1685e-23   +5.4996e-24   +1.0425e-23
 3.5700e+01   +4.2471e-23   +8.0467e-23   +3.7340e-23   +7.0739e-23   +3.5026e-14   -3.8879e-14   +2.1065e-312   +2.8614e-312   +5.1304e-24   +9.7277e-24   +4.5791e-24   +8.6818e-24
 3.5800e+01   +3.5445e-23   +6.7167e-23   +3.1175e-23   +5.9069e-23   +3.1787e-14   -3.5293e-14   +2.1065e-312   +2.8614e-312   +4.2705e-24   +8.0981e-24   +3.8129e-24   +7.2297e-24
 3.5900e+01   +2.9581e-23   +5.6062e-23   +2.6026e-23   +4.9321e-23   +2.8847e-14   -3.2038e-14   +2.1065e-312   +2.8614e-312   +3.5544e-24   +6.7412e-24   +3.1746e-24   +6.0203e-24
 3.6000e+01   +2.4685e-23   +4.6790e-23   +2.1727e-23   +4.1179e-23   +2.6179e-14   -2.9083e-14   +2.1065e-312   +2.8614e-312   +2.9582e-24   +5.6113e-24   +2.6429e-24   +5.0129e-24
 3.6100e+01   +2.0598e-23   +3.9051e-23   +1.8136e-23   +3.4380e-23   +2.3757e-14   -2.6400e-14   +2.1065e-312   +2.8614e-312   +2.4620e-24   +4.6707e-24   +2.2003e-24   +4.1738e-24
 3.6200e+01   +1.7187e-23   +3.2588e-23   +1.5139e-23   +2.8701e-23   +2.1559e-14   -2.3964e-14   +2.1065e-312   +2.8614e-312   +2.0489e-24   +3.8875e-24   +1.8316e-24   +3.4751e-24
 3.6300e+01   +1.4341e-23   +2.7195e-23   +1.2636e-23   +2.3960e-23   +1.9564e-14   -2.1753e-14   +2.1065e-312   +2.8614e-312   +1.7050e-24   +3.2356e-24   +1.5247e-24   +2.8932e-24
 3.6400e+01   +1.1965e-23   +2.2693e-23   +1.0546e-23   +2.0000e-23   +1.7754e-14   -1.9746e-14   +2.1065e-312   +2.8614e-312   +1.4188e-24   +2.6928e-24   +1.2692e-24   +2.4086e-24
 3.6500e+01   +9.9822e-24   +1.8935e-23   +8.8016e-24   +1.6694e-23   +1.6111e-14   -1.7923e-14   +2.1065e-312   +2.8614e-312   +1.1806e-24   +2.2410e-24   +1.0564e-24   +2.0051e-24
